Date,BA,JNJ,JPM,NVDA,PG,WMT,XOM,AAPL,AMZN,GOOGL,META,MSFT,TSLA
2022-11-18,173.97999572753906,158.7195017979305,124.9814084590787,15.946839425086369,131.5683315680525,48.01508707038124,100.0300114916644,150.0463641188946,95.9499969482422,98.09342884271732,113.10275747250944,237.82389241753864,185.0500030517578
2022-11-21,172.52999877929688,160.5563823034488,124.21056239102536,15.128824145184344,132.6251665429636,48.31664755048374,99.20921521560685,147.928327968664,93.97000122070312,96.62358621558477,110.83671490452622,235.7924470015689,175.85000610351562
2022-11-22,173.64999389648438,161.02190619373556,124.45203283487275,15.309606900976542,134.82229997811535,48.76256931759885,101.21160844991712,145.92847743972578,92.62000274658205,95.2927446383096,109.18689613594024,237.90200273092583,168.6300048828125
2022-11-23,172.08999633789062,161.058448883624,125.32505432096104,16.078685422341522,135.25801286414827,48.78822529692366,101.31084318884808,147.22889506000232,93.23999786376952,96.4249422059745,111.03550408203002,239.3865485548775,173.57000732421875
2022-11-25,174.35000610351562,161.91652144838588,126.75529727587012,16.298421486545415,136.08309056016253,48.80106228916828,102.7179446258054,146.10580754336945,93.79000091552734,97.5670677016104,110.61808271157506,241.5351328789781,185.05999755859372
2022-11-28,176.1699981689453,161.3414107766993,126.37454474442444,16.00676784560978,135.71227838834318,48.9935464800676,99.8135516379953,142.98290889279264,93.93000030517578,96.37529110822086,110.1012640192642,240.3338940526364,179.9600067138672
2022-11-29,172.8800048828125,161.57876322299632,125.06502271824476,15.808005735929871,135.11896244426762,49.09299087648871,99.76844560829268,142.14557128350813,94.04000091552734,95.07426584986467,108.86884881766484,235.7631313750269,184.9900054931641
2022-11-30,178.0,160.9945468264475,126.39312101108118,15.682175681304692,135.02625397432345,48.95825225765948,100.60729607034963,139.29851639049443,92.47000122070312,94.1704983332708,108.83904515996925,234.95252448977652,182.42999267578125
2022-12-01,178.8800048828125,163.39525734586374,128.33417344713655,16.98294514663755,138.62325359615724,48.778593933510685,100.69748251228616,146.00729966926298,96.98999786376952,100.32802632483222,118.4696641064215,247.9419535295198,197.0800018310547
2022-12-02,173.1199951171875,162.02603624644718,124.90712234165926,16.643267526890366,137.64057373593317,48.59573737902328,98.77626408675732,143.79072424895466,94.4800033569336,98.37152838636052,117.10806555064268,243.9865657566181,191.77999877929688
2022-12-05,182.0,162.81107410573563,124.67491098672156,16.663249657372322,137.863058952285,49.00316892554554,99.8496125680735,145.57387788392768,93.0500030517578,98.7191149043464,121.00405184224358,246.12538359731664,189.44000244140625
2022-12-06,184.00999450683597,164.2350527411864,123.88549160476109,16.514389290224578,138.79940335265275,48.50591696992329,95.52009324192773,144.8842493657544,90.5,98.6198045659052,119.1753253307581,244.96316804950703,181.22000122070312
2022-12-07,176.27999877929688,161.1771224369405,121.95369337877337,15.75710452343126,138.14115479785798,48.28135456914002,93.60788653125178,140.07679006739448,88.33999633789062,95.74961245738876,113.06299988387808,239.11305308285705,175.02999877929688
2022-12-08,179.32000732421875,161.405334073286,122.90102892491466,16.257632527002734,138.55838281492524,48.03186644080829,95.8628561562006,140.24425432184734,89.23999786376953,94.72665114806772,115.67688559230108,239.1228268856705,172.1999969482422
2022-12-09,180.75,161.6791499486183,122.78028479893656,17.1437916984956,139.70792618046318,47.48765421647208,94.33848976321708,140.22454358218158,88.9000015258789,93.12768592936698,114.59357327697356,238.98609654359035,173.83999633789062
2022-12-12,180.8000030517578,160.6111759120068,122.96604385144109,17.020911352868033,140.18997597622965,46.982089002550914,93.6529961217989,140.57915481281114,89.20999908447266,92.07494883207544,114.47430081764996,241.67188039318717,176.10000610351562
2022-12-13,191.1100006103516,163.48656403559409,127.1361199458188,18.513501664439776,142.22024787237837,48.30236145250655,97.23387163034086,147.27813419846305,95.2300033569336,97.09035191454748,121.38172103143135,255.579352180181,174.8699951171875
2022-12-14,187.3300018310547,163.0118955685153,124.2476996467037,17.970012708973496,141.64546241755372,47.36529133210771,97.40524181926892,143.1898139764628,92.5,94.5478918878186,118.6584988754752,251.125865506393,159.25
2022-12-15,186.25,163.57782576203618,121.80509802663518,17.129802542502155,140.65350444197674,46.879048499589885,95.005967680951,139.01284678575612,89.88999938964844,92.49207267577248,117.60500578363975,247.7954903825162,153.44000244140625
2022-12-16,182.7899932861328,161.56963152634188,119.94762038811572,16.84807575312121,139.39270669032317,46.5248234760851,93.5267299306529,134.65850323442362,88.2699966430664,90.13831399003944,119.49335891118666,242.74621623287632,159.63999938964844
2022-12-19,184.9199981689453,160.06344092769746,120.411965699858,16.556347895867603,139.26293033027198,46.0514601249328,94.94282305602482,133.10202459436422,87.51000213623047,89.64172310557181,116.11418743564188,239.14233870840476,154.0
2022-12-20,186.17999267578125,160.6568087493569,121.63793180074848,16.04882697825247,138.42859536220584,46.02248209269201,94.86163909154372,129.43727633927583,85.33000183105469,87.50645464738024,112.56606118009157,233.80982617655215,146.0500030517578
2022-12-21,190.0399932861328,160.90323837868027,122.761705900853,16.09878088961092,139.75426347198157,46.47331041414402,97.67582018931596,131.003643429146,86.18000030517578,88.46980985381954,115.98497339232829,236.04637204350925,139.33999633789062
2022-12-22,193.82000732421875,161.35967123632997,121.75867974575203,16.07880051974723,140.1065522725614,46.618216577947415,97.3150418625808,132.35328842388512,85.5199966430664,87.55612849237622,116.48192412902353,235.626387659586,136.0
2022-12-23,188.25,161.26839776426806,121.27572255400854,15.181648162416543,141.20043729018897,46.06435053980103,96.46717559990437,128.97425178436364,83.25,86.5133086638046,115.31908556299432,230.5966706211528,126.37000274658205
