Date,AAPL,AMZN,GOOGL,META,MSFT,TSLA,BA,JNJ,JPM,NVDA,PG,WMT,XOM
2022-12-07,138.84536743164062,88.45999908447266,94.28968048095705,113.2319564819336,238.66378784179688,174.0399932861328,176.5,161.7248077392578,122.13015747070312,16.10477638244629,139.2814483642578,47.83543395996094,93.49063110351562
2022-12-08,140.52993774414062,90.3499984741211,93.0680923461914,114.62338256835938,241.623046875,173.44000244140625,179.0800018310547,161.752197265625,123.4118423461914,17.152786254882812,140.28271484375,47.90950012207031,94.18516540527344
2022-12-09,140.04722595214844,89.08999633789062,92.19412994384766,115.1898956298828,239.6892852783203,179.0500030517578,179.5399932861328,160.41946411132812,122.7431411743164,16.984941482543945,139.91188049316406,46.7921028137207,93.39141082763672
2022-12-12,142.34255981445312,90.5500030517578,92.67083740234376,114.0071792602539,246.6137237548828,167.82000732421875,186.27000427246097,162.33641052246094,124.64708709716795,17.51844024658203,141.3488006591797,47.664764404296875,95.69147491455078
2022-12-13,143.3080291748047,92.48999786376952,94.97493743896484,119.41385650634766,250.92074584960935,160.9499969482422,187.1300048828125,163.58697509765625,124.5263442993164,18.054935455322266,141.13558959960938,47.494102478027344,96.73777770996094
2022-12-14,141.0816192626953,91.58000183105467,94.41878509521484,120.8450164794922,251.21376037597656,156.8000030517578,188.25,164.08901977539062,123.90406799316406,17.65730857849121,141.6918182373047,47.23004531860352,96.02520751953124
2022-12-15,134.4713592529297,88.44999694824219,90.23762512207033,115.43836212158205,243.19546508789065,157.6699981689453,183.72000122070312,162.01690673828125,120.82992553710938,16.935985565185547,140.08799743652344,46.808204650878906,95.10518646240234
2022-12-16,132.51089477539062,87.86000061035156,89.64173889160156,118.69825744628906,238.97634887695312,150.22999572753906,184.6999969482422,160.35557556152344,120.07764434814452,16.55535125732422,139.4668731689453,45.967735290527344,94.43772888183594
2022-12-19,130.40274047851562,84.91999816894531,87.83419036865234,113.7785873413086,234.83531188964844,149.8699951171875,185.67999267578125,160.18209838867188,120.79275512695312,16.2386474609375,139.42979431152344,45.98383712768555,94.86164093017578
2022-12-20,130.33375549316406,85.19000244140625,88.41021728515625,116.37258911132812,236.15379333496097,137.8000030517578,188.2899932861328,160.35557556152344,121.3778839111328,16.069807052612305,139.48544311523438,46.38636016845703,96.23265838623048
2022-12-21,133.4369354248047,86.7699966430664,88.96638488769531,119.02622985839844,238.72238159179688,137.57000732421875,196.0,162.1903076171875,122.7431411743164,16.485414505004883,140.76475524902344,46.750244140625,97.4683609008789
2022-12-22,130.26478576660156,83.79000091552734,87.15886688232422,116.40242004394533,232.62808227539065,125.3499984741211,188.25,161.5970001220703,121.35002899169922,15.32451343536377,141.0892333984375,46.20281600952149,95.5020523071289
2022-12-23,129.90028381347656,85.25,88.61878967285156,117.3167724609375,233.15548706054688,123.1500015258789,189.05999755859375,162.00778198242188,121.92584228515624,15.191638946533203,141.48782348632812,46.296199798583984,98.0276107788086
2022-12-27,128.0974884033203,83.04000091552734,86.79138946533203,116.16388702392578,231.4268493652344,109.0999984741211,189.3999938964844,161.96212768554688,122.3530731201172,14.107664108276367,142.72084045410156,46.309078216552734,99.38961029052734
2022-12-28,124.16680145263672,81.81999969482422,85.43077850341797,114.9115982055664,229.0535888671875,112.70999908447266,188.3800048828125,161.25926208496094,123.02178955078124,14.022743225097656,140.87600708007812,45.497596740722656,97.75701141357422
2022-12-29,127.68373107910156,84.18000030517578,87.8441390991211,119.52317810058594,235.3822479248047,121.81999969482422,188.91000366210935,162.080810546875,123.72760772705078,14.58920955657959,141.46005249023438,45.774532318115234,98.49664306640624
2022-12-30,127.9989776611328,84.0,87.62564849853516,119.6026840209961,234.2200469970703,123.18000030517578,190.4900054931641,161.2501220703125,124.54492950439452,14.60019874572754,140.5051727294922,45.65861129760742,99.48882293701172
2023-01-03,123.21121215820312,85.81999969482422,88.50955200195312,123.97572326660156,233.9856719970703,108.0999984741211,195.38999938964844,162.65589904785156,125.49220275878906,14.30147933959961,140.5144500732422,46.241455078125,96.07030487060548
2023-01-04,124.48204803466795,85.13999938964844,87.4766616821289,126.58961486816406,223.75033569335935,113.63999938964844,203.63999938964844,164.4267578125,126.66246795654295,14.735069274902344,141.12632751464844,46.2929801940918,96.34992980957033
2023-01-05,123.16194152832033,83.12000274658203,85.60954284667969,126.1622543334961,217.1189117431641,110.33999633789062,204.9900054931641,163.2126922607422,126.63439178466795,14.251526832580566,139.37413024902344,46.135196685791016,98.50565338134766
